In Cart,Recommendation,Support,Confidence,Lift
appliances.kitchen.toster,electronics.tablet,0.125,1.0,4.0
appliances.kitchen.washer,computers.network.router,0.125,1.0,8.0
appliances.kitchen.washer,country_yard.weather_station,0.125,1.0,8.0
appliances.personal.massager,electronics.tablet,0.125,1.0,4.0
computers.components.cpu,electronics.video.tv,0.125,1.0,8.0
computers.components.cpu,furniture.kitchen.table,0.125,1.0,4.0
computers.components.hdd,sport.bicycle,0.125,1.0,8.0
computers.network.router,country_yard.weather_station,0.125,1.0,8.0
computers.peripherals.keyboard,computers.peripherals.scanner,0.125,1.0,8.0
computers.peripherals.keyboard,furniture.kitchen.table,0.125,1.0,4.0
computers.peripherals.scanner,furniture.kitchen.table,0.125,1.0,4.0
electronics.video.tv,furniture.kitchen.table,0.125,1.0,4.0
208.31,appliances.environment.air_conditioner + appliances.environment.vacuum,0.125,1.0,8.0
208.31,appliances.kitchen.dishwasher + appliances.environment.air_conditioner,0.125,1.0,8.0
208.31,appliances.environment.air_conditioner + appliances.kitchen.hood,0.125,1.0,8.0
208.31,appliances.environment.air_conditioner + appliances.kitchen.oven,0.125,1.0,8.0
208.31,appliances.environment.air_conditioner + appliances.kitchen.refrigerators,0.125,1.0,4.0
208.31,appliances.personal.scales + appliances.environment.air_conditioner,0.125,1.0,4.0
208.31,computers.peripherals.printer + appliances.environment.air_conditioner,0.125,1.0,8.0
208.31,appliances.kitchen.dishwasher + appliances.environment.vacuum,0.125,1.0,8.0
208.31,appliances.environment.vacuum + appliances.kitchen.hood,0.125,1.0,8.0
208.31,appliances.environment.vacuum + appliances.kitchen.oven,0.125,1.0,8.0
208.31,appliances.kitchen.refrigerators + appliances.environment.vacuum,0.125,1.0,8.0
208.31,appliances.personal.scales + appliances.environment.vacuum,0.125,1.0,8.0
208.31,computers.peripherals.printer + appliances.environment.vacuum,0.125,1.0,8.0
208.31,electronics.audio.headphone + appliances.environment.vacuum,0.125,1.0,8.0
208.31,appliances.kitchen.dishwasher + appliances.kitchen.hood,0.125,1.0,8.0
208.31,appliances.kitchen.dishwasher + appliances.kitchen.oven,0.125,1.0,8.0
208.31,appliances.kitchen.dishwasher + appliances.kitchen.refrigerators,0.125,1.0,8.0
208.31,appliances.kitchen.dishwasher + appliances.personal.scales,0.125,1.0,8.0
208.31,appliances.kitchen.dishwasher + computers.peripherals.printer,0.125,1.0,8.0
208.31,appliances.kitchen.dishwasher + electronics.audio.headphone,0.125,1.0,8.0
208.31,appliances.kitchen.hood + appliances.kitchen.oven,0.125,1.0,8.0
208.31,appliances.kitchen.refrigerators + appliances.kitchen.hood,0.125,1.0,8.0
208.31,appliances.personal.scales + appliances.kitchen.hood,0.125,1.0,8.0
208.31,computers.peripherals.printer + appliances.kitchen.hood,0.125,1.0,8.0
208.31,electronics.audio.headphone + appliances.kitchen.hood,0.125,1.0,8.0
208.31,appliances.kitchen.refrigerators + appliances.kitchen.oven,0.125,1.0,8.0
208.31,appliances.personal.scales + appliances.kitchen.oven,0.125,1.0,8.0
208.31,computers.peripherals.printer + appliances.kitchen.oven,0.125,1.0,8.0
208.31,electronics.audio.headphone + appliances.kitchen.oven,0.125,1.0,8.0
208.31,computers.peripherals.printer + appliances.kitchen.refrigerators,0.125,1.0,8.0
208.31,appliances.kitchen.refrigerators + electronics.audio.headphone,0.125,1.0,4.0
208.31,appliances.personal.scales + computers.peripherals.printer,0.125,1.0,8.0
208.31,appliances.personal.scales + electronics.audio.headphone,0.125,1.0,4.0
208.31,computers.peripherals.printer + electronics.audio.headphone,0.125,1.0,8.0
electronics.tablet,None + electronics.audio.headphone,0.125,0.5,4.0
apparel.shirt,apparel.trousers + appliances.kitchen.kettle,0.125,1.0,8.0
apparel.shirt,apparel.trousers + appliances.kitchen.microwave,0.125,1.0,8.0
apparel.shirt,apparel.trousers + computers.components.hdd,0.125,1.0,8.0
apparel.shirt,apparel.trousers + computers.peripherals.mouse,0.125,1.0,8.0
apparel.shirt,apparel.trousers + electronics.audio.headphone,0.125,1.0,8.0
apparel.shirt,apparel.trousers + electronics.smartphone,0.125,1.0,8.0
apparel.shirt,apparel.trousers + sport.bicycle,0.125,1.0,8.0
apparel.shirt,appliances.kitchen.kettle + appliances.kitchen.microwave,0.125,1.0,8.0
apparel.shirt,computers.components.hdd + appliances.kitchen.kettle,0.125,1.0,8.0
apparel.shirt,computers.peripherals.mouse + appliances.kitchen.kettle,0.125,1.0,8.0
apparel.shirt,appliances.kitchen.kettle + electronics.audio.headphone,0.125,1.0,8.0
apparel.shirt,electronics.smartphone + appliances.kitchen.kettle,0.125,1.0,8.0
apparel.shirt,appliances.kitchen.kettle + sport.bicycle,0.125,1.0,8.0
apparel.shirt,computers.components.hdd + appliances.kitchen.microwave,0.125,1.0,8.0
apparel.shirt,computers.peripherals.mouse + appliances.kitchen.microwave,0.125,1.0,4.0
apparel.shirt,electronics.audio.headphone + appliances.kitchen.microwave,0.125,1.0,4.0
apparel.shirt,electronics.smartphone + appliances.kitchen.microwave,0.125,1.0,4.0
apparel.shirt,sport.bicycle + appliances.kitchen.microwave,0.125,1.0,8.0
apparel.shirt,computers.components.hdd + computers.peripherals.mouse,0.125,1.0,8.0
apparel.shirt,computers.components.hdd + electronics.audio.headphone,0.125,1.0,8.0
apparel.shirt,computers.components.hdd + electronics.smartphone,0.125,1.0,8.0
apparel.shirt,computers.components.hdd + sport.bicycle,0.125,1.0,8.0
apparel.shirt,computers.peripherals.mouse + electronics.smartphone,0.125,1.0,4.0
apparel.shirt,computers.peripherals.mouse + sport.bicycle,0.125,1.0,8.0
apparel.shirt,electronics.audio.headphone + sport.bicycle,0.125,1.0,8.0
apparel.shirt,electronics.smartphone + sport.bicycle,0.125,1.0,8.0
apparel.trousers,appliances.kitchen.kettle + appliances.kitchen.microwave,0.125,1.0,8.0
apparel.trousers,computers.components.hdd + appliances.kitchen.kettle,0.125,1.0,8.0
apparel.trousers,computers.peripherals.mouse + appliances.kitchen.kettle,0.125,1.0,8.0
apparel.trousers,appliances.kitchen.kettle + electronics.audio.headphone,0.125,1.0,8.0
apparel.trousers,electronics.smartphone + appliances.kitchen.kettle,0.125,1.0,8.0
apparel.trousers,appliances.kitchen.kettle + sport.bicycle,0.125,1.0,8.0
apparel.trousers,computers.components.hdd + appliances.kitchen.microwave,0.125,1.0,8.0
apparel.trousers,computers.peripherals.mouse + appliances.kitchen.microwave,0.125,1.0,4.0
apparel.trousers,electronics.audio.headphone + appliances.kitchen.microwave,0.125,1.0,4.0
apparel.trousers,electronics.smartphone + appliances.kitchen.microwave,0.125,1.0,4.0
apparel.trousers,sport.bicycle + appliances.kitchen.microwave,0.125,1.0,8.0
apparel.trousers,computers.components.hdd + computers.peripherals.mouse,0.125,1.0,8.0
apparel.trousers,computers.components.hdd + electronics.audio.headphone,0.125,1.0,8.0
apparel.trousers,computers.components.hdd + electronics.smartphone,0.125,1.0,8.0
apparel.trousers,computers.components.hdd + sport.bicycle,0.125,1.0,8.0
apparel.trousers,computers.peripherals.mouse + electronics.smartphone,0.125,1.0,4.0
apparel.trousers,computers.peripherals.mouse + sport.bicycle,0.125,1.0,8.0
apparel.trousers,electronics.audio.headphone + sport.bicycle,0.125,1.0,8.0
apparel.trousers,electronics.smartphone + sport.bicycle,0.125,1.0,8.0
appliances.environment.vacuum,appliances.kitchen.dishwasher + appliances.environment.air_conditioner,0.125,1.0,8.0
appliances.environment.vacuum,appliances.environment.air_conditioner + appliances.kitchen.hood,0.125,1.0,8.0
appliances.environment.vacuum,appliances.environment.air_conditioner + appliances.kitchen.oven,0.125,1.0,8.0
appliances.environment.vacuum,appliances.environment.air_conditioner + appliances.kitchen.refrigerators,0.125,1.0,4.0
appliances.environment.vacuum,appliances.personal.scales + appliances.environment.air_conditioner,0.125,1.0,4.0
appliances.environment.vacuum,computers.peripherals.printer + appliances.environment.air_conditioner,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,appliances.iron + appliances.environment.air_conditioner,0.125,1.0,4.0
appliances.kitchen.toster,appliances.iron + appliances.environment.air_conditioner,0.125,1.0,4.0
appliances.personal.massager,appliances.iron + appliances.environment.air_conditioner,0.125,1.0,4.0
computers.peripherals.keyboard,appliances.iron + appliances.environment.air_conditioner,0.125,1.0,4.0
computers.peripherals.scanner,appliances.iron + appliances.environment.air_conditioner,0.125,1.0,4.0
appliances.kitchen.coffee_grinder,appliances.environment.air_conditioner + appliances.kitchen.refrigerators,0.125,1.0,4.0
appliances.kitchen.coffee_grinder,appliances.kitchen.toster + appliances.environment.air_conditioner,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,appliances.environment.air_conditioner + appliances.personal.massager,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,appliances.personal.scales + appliances.environment.air_conditioner,0.125,1.0,4.0
appliances.kitchen.coffee_grinder,electronics.smartphone + appliances.environment.air_conditioner,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,appliances.environment.air_conditioner + electronics.tablet,0.125,1.0,8.0
appliances.kitchen.dishwasher,appliances.environment.air_conditioner + appliances.kitchen.hood,0.125,1.0,8.0
appliances.kitchen.dishwasher,appliances.environment.air_conditioner + appliances.kitchen.oven,0.125,1.0,8.0
appliances.kitchen.dishwasher,appliances.environment.air_conditioner + appliances.kitchen.refrigerators,0.125,1.0,4.0
appliances.kitchen.dishwasher,appliances.personal.scales + appliances.environment.air_conditioner,0.125,1.0,4.0
appliances.kitchen.dishwasher,computers.peripherals.printer + appliances.environment.air_conditioner,0.125,1.0,8.0
appliances.kitchen.grill,computers.peripherals.keyboard + appliances.environment.air_conditioner,0.125,0.5,4.0
appliances.kitchen.grill,computers.peripherals.mouse + appliances.environment.air_conditioner,0.125,0.5,4.0
appliances.kitchen.grill,computers.peripherals.scanner + appliances.environment.air_conditioner,0.125,0.5,4.0
appliances.kitchen.grill,appliances.environment.air_conditioner + furniture.kitchen.table,0.125,0.5,4.0
appliances.kitchen.hood,appliances.environment.air_conditioner + appliances.kitchen.oven,0.125,1.0,8.0
appliances.kitchen.hood,appliances.environment.air_conditioner + appliances.kitchen.refrigerators,0.125,1.0,4.0
appliances.kitchen.hood,appliances.personal.scales + appliances.environment.air_conditioner,0.125,1.0,4.0
appliances.kitchen.hood,computers.peripherals.printer + appliances.environment.air_conditioner,0.125,1.0,8.0
appliances.kitchen.oven,appliances.environment.air_conditioner + appliances.kitchen.refrigerators,0.125,1.0,4.0
appliances.kitchen.oven,appliances.personal.scales + appliances.environment.air_conditioner,0.125,1.0,4.0
appliances.kitchen.oven,computers.peripherals.printer + appliances.environment.air_conditioner,0.125,1.0,8.0
appliances.kitchen.toster,appliances.environment.air_conditioner + appliances.kitchen.refrigerators,0.125,1.0,4.0
appliances.personal.massager,appliances.environment.air_conditioner + appliances.kitchen.refrigerators,0.125,1.0,4.0
computers.peripherals.printer,appliances.environment.air_conditioner + appliances.kitchen.refrigerators,0.125,1.0,4.0
appliances.kitchen.toster,appliances.environment.air_conditioner + appliances.personal.massager,0.125,1.0,8.0
appliances.kitchen.toster,appliances.personal.scales + appliances.environment.air_conditioner,0.125,1.0,4.0
appliances.kitchen.toster,electronics.smartphone + appliances.environment.air_conditioner,0.125,1.0,8.0
appliances.kitchen.toster,appliances.environment.air_conditioner + electronics.tablet,0.125,1.0,8.0
appliances.personal.massager,appliances.personal.scales + appliances.environment.air_conditioner,0.125,1.0,4.0
appliances.personal.massager,electronics.smartphone + appliances.environment.air_conditioner,0.125,1.0,8.0
appliances.personal.massager,appliances.environment.air_conditioner + electronics.tablet,0.125,1.0,8.0
computers.peripherals.printer,appliances.personal.scales + appliances.environment.air_conditioner,0.125,1.0,4.0
computers.peripherals.keyboard,computers.peripherals.mouse + appliances.environment.air_conditioner,0.125,1.0,8.0
computers.peripherals.keyboard,computers.peripherals.scanner + appliances.environment.air_conditioner,0.125,1.0,8.0
computers.peripherals.keyboard,appliances.environment.air_conditioner + furniture.kitchen.table,0.125,1.0,8.0
computers.peripherals.scanner,computers.peripherals.mouse + appliances.environment.air_conditioner,0.125,1.0,8.0
furniture.kitchen.table,computers.peripherals.mouse + appliances.environment.air_conditioner,0.125,0.5,4.0
computers.peripherals.scanner,appliances.environment.air_conditioner + furniture.kitchen.table,0.125,1.0,8.0
electronics.tablet,electronics.smartphone + appliances.environment.air_conditioner,0.125,0.5,4.0
appliances.environment.vacuum,appliances.kitchen.dishwasher + appliances.kitchen.hood,0.125,1.0,8.0
appliances.environment.vacuum,appliances.kitchen.dishwasher + appliances.kitchen.oven,0.125,1.0,8.0
appliances.environment.vacuum,appliances.kitchen.dishwasher + appliances.kitchen.refrigerators,0.125,1.0,8.0
appliances.environment.vacuum,appliances.kitchen.dishwasher + appliances.personal.scales,0.125,1.0,8.0
appliances.environment.vacuum,appliances.kitchen.dishwasher + computers.peripherals.printer,0.125,1.0,8.0
appliances.environment.vacuum,appliances.kitchen.dishwasher + electronics.audio.headphone,0.125,1.0,8.0
appliances.environment.vacuum,appliances.kitchen.hood + appliances.kitchen.oven,0.125,1.0,8.0
appliances.environment.vacuum,appliances.kitchen.refrigerators + appliances.kitchen.hood,0.125,1.0,8.0
appliances.environment.vacuum,appliances.personal.scales + appliances.kitchen.hood,0.125,1.0,8.0
appliances.environment.vacuum,computers.peripherals.printer + appliances.kitchen.hood,0.125,1.0,8.0
appliances.environment.vacuum,electronics.audio.headphone + appliances.kitchen.hood,0.125,1.0,8.0
appliances.environment.vacuum,appliances.kitchen.refrigerators + appliances.kitchen.oven,0.125,1.0,8.0
appliances.environment.vacuum,appliances.personal.scales + appliances.kitchen.oven,0.125,1.0,8.0
appliances.environment.vacuum,computers.peripherals.printer + appliances.kitchen.oven,0.125,1.0,8.0
appliances.environment.vacuum,electronics.audio.headphone + appliances.kitchen.oven,0.125,1.0,8.0
appliances.environment.vacuum,computers.peripherals.printer + appliances.kitchen.refrigerators,0.125,1.0,8.0
appliances.environment.vacuum,appliances.kitchen.refrigerators + electronics.audio.headphone,0.125,1.0,4.0
appliances.environment.vacuum,appliances.personal.scales + computers.peripherals.printer,0.125,1.0,8.0
appliances.environment.vacuum,appliances.personal.scales + electronics.audio.headphone,0.125,1.0,4.0
appliances.environment.vacuum,computers.peripherals.printer + electronics.audio.headphone,0.125,1.0,8.0
appliances.environment.water_heater,appliances.iron + appliances.kitchen.grill,0.125,1.0,4.0
appliances.environment.water_heater,appliances.iron + appliances.kitchen.microwave,0.125,1.0,8.0
appliances.environment.water_heater,appliances.iron + appliances.kitchen.washer,0.125,1.0,8.0
appliances.environment.water_heater,computers.network.router + appliances.iron,0.125,1.0,8.0
appliances.environment.water_heater,computers.peripherals.mouse + appliances.iron,0.125,1.0,4.0
appliances.environment.water_heater,appliances.iron + country_yard.weather_station,0.125,1.0,8.0
appliances.environment.water_heater,electronics.smartphone + appliances.iron,0.125,1.0,4.0
appliances.environment.water_heater,appliances.kitchen.grill + appliances.kitchen.microwave,0.125,1.0,8.0
appliances.environment.water_heater,appliances.kitchen.grill + appliances.kitchen.washer,0.125,1.0,8.0
appliances.environment.water_heater,computers.network.router + appliances.kitchen.grill,0.125,1.0,8.0
appliances.environment.water_heater,computers.peripherals.mouse + appliances.kitchen.grill,0.125,1.0,4.0
appliances.environment.water_heater,appliances.kitchen.grill + country_yard.weather_station,0.125,1.0,8.0
appliances.environment.water_heater,electronics.audio.headphone + appliances.kitchen.grill,0.125,1.0,4.0
appliances.environment.water_heater,electronics.smartphone + appliances.kitchen.grill,0.125,1.0,8.0
appliances.environment.water_heater,appliances.kitchen.microwave + appliances.kitchen.washer,0.125,1.0,8.0
appliances.environment.water_heater,computers.network.router + appliances.kitchen.microwave,0.125,1.0,8.0
appliances.environment.water_heater,computers.peripherals.mouse + appliances.kitchen.microwave,0.125,1.0,4.0
appliances.environment.water_heater,appliances.kitchen.microwave + country_yard.weather_station,0.125,1.0,8.0
appliances.environment.water_heater,electronics.audio.headphone + appliances.kitchen.microwave,0.125,1.0,4.0
appliances.environment.water_heater,electronics.smartphone + appliances.kitchen.microwave,0.125,1.0,4.0
appliances.environment.water_heater,computers.network.router + appliances.kitchen.washer,0.125,1.0,8.0
appliances.environment.water_heater,computers.peripherals.mouse + appliances.kitchen.washer,0.125,1.0,8.0
appliances.environment.water_heater,appliances.kitchen.washer + country_yard.weather_station,0.125,1.0,8.0
appliances.environment.water_heater,electronics.audio.headphone + appliances.kitchen.washer,0.125,1.0,8.0
appliances.environment.water_heater,electronics.smartphone + appliances.kitchen.washer,0.125,1.0,8.0
appliances.environment.water_heater,computers.network.router + computers.peripherals.mouse,0.125,1.0,8.0
appliances.environment.water_heater,computers.network.router + country_yard.weather_station,0.125,1.0,8.0
appliances.environment.water_heater,computers.network.router + electronics.audio.headphone,0.125,1.0,8.0
appliances.environment.water_heater,computers.network.router + electronics.smartphone,0.125,1.0,8.0
appliances.environment.water_heater,computers.peripherals.mouse + country_yard.weather_station,0.125,1.0,8.0
appliances.environment.water_heater,computers.peripherals.mouse + electronics.smartphone,0.125,1.0,4.0
appliances.environment.water_heater,electronics.audio.headphone + country_yard.weather_station,0.125,1.0,8.0
appliances.environment.water_heater,electronics.smartphone + country_yard.weather_station,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,appliances.iron + appliances.kitchen.refrigerators,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,appliances.iron + appliances.kitchen.toster,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,appliances.iron + appliances.personal.massager,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,appliances.iron + appliances.personal.scales,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,electronics.smartphone + appliances.iron,0.125,1.0,4.0
appliances.kitchen.coffee_grinder,appliances.iron + electronics.tablet,0.125,1.0,8.0
appliances.kitchen.grill,appliances.iron + appliances.kitchen.microwave,0.125,0.5,4.0
appliances.kitchen.grill,appliances.iron + appliances.kitchen.washer,0.125,0.5,4.0
appliances.kitchen.grill,computers.network.router + appliances.iron,0.125,0.5,4.0
appliances.kitchen.grill,appliances.iron + computers.peripherals.keyboard,0.125,0.5,4.0
appliances.kitchen.grill,computers.peripherals.mouse + appliances.iron,0.25,1.0,4.0
appliances.kitchen.grill,computers.peripherals.scanner + appliances.iron,0.125,0.5,4.0
appliances.kitchen.grill,appliances.iron + country_yard.weather_station,0.125,0.5,4.0
appliances.kitchen.grill,appliances.iron + furniture.kitchen.table,0.125,0.5,4.0
appliances.kitchen.microwave,appliances.iron + appliances.kitchen.washer,0.125,0.5,4.0
appliances.kitchen.microwave,computers.network.router + appliances.iron,0.125,0.5,4.0
appliances.kitchen.microwave,appliances.iron + country_yard.weather_station,0.125,0.5,4.0
appliances.kitchen.toster,appliances.iron + appliances.kitchen.refrigerators,0.125,1.0,8.0
appliances.personal.massager,appliances.iron + appliances.kitchen.refrigerators,0.125,1.0,8.0
electronics.tablet,appliances.iron + appliances.kitchen.refrigerators,0.125,0.5,4.0
appliances.kitchen.toster,appliances.iron + appliances.personal.massager,0.125,1.0,8.0
appliances.kitchen.toster,appliances.iron + appliances.personal.scales,0.125,1.0,8.0
appliances.kitchen.toster,electronics.smartphone + appliances.iron,0.125,1.0,4.0
appliances.kitchen.toster,appliances.iron + electronics.tablet,0.125,1.0,8.0
appliances.kitchen.washer,computers.network.router + appliances.iron,0.125,1.0,8.0
appliances.kitchen.washer,computers.peripherals.mouse + appliances.iron,0.125,1.0,4.0
appliances.kitchen.washer,appliances.iron + country_yard.weather_station,0.125,1.0,8.0
appliances.kitchen.washer,electronics.smartphone + appliances.iron,0.125,1.0,4.0
appliances.personal.massager,appliances.iron + appliances.personal.scales,0.125,1.0,8.0
appliances.personal.massager,electronics.smartphone + appliances.iron,0.125,1.0,4.0
appliances.personal.massager,appliances.iron + electronics.tablet,0.125,1.0,8.0
electronics.tablet,appliances.iron + appliances.personal.scales,0.125,0.5,4.0
computers.network.router,computers.peripherals.mouse + appliances.iron,0.125,1.0,4.0
computers.network.router,appliances.iron + country_yard.weather_station,0.125,1.0,8.0
computers.network.router,electronics.smartphone + appliances.iron,0.125,1.0,4.0
computers.peripherals.keyboard,computers.peripherals.mouse + appliances.iron,0.125,1.0,4.0
computers.peripherals.keyboard,computers.peripherals.scanner + appliances.iron,0.125,1.0,8.0
computers.peripherals.keyboard,appliances.iron + furniture.kitchen.table,0.125,1.0,8.0
computers.peripherals.scanner,computers.peripherals.mouse + appliances.iron,0.125,1.0,4.0
country_yard.weather_station,computers.peripherals.mouse + appliances.iron,0.125,1.0,4.0
computers.peripherals.scanner,appliances.iron + furniture.kitchen.table,0.125,1.0,8.0
country_yard.weather_station,electronics.smartphone + appliances.iron,0.125,1.0,4.0
appliances.kitchen.coffee_grinder,appliances.kitchen.toster + appliances.kitchen.refrigerators,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,appliances.kitchen.refrigerators + appliances.personal.massager,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,appliances.kitchen.refrigerators + electronics.audio.headphone,0.125,1.0,4.0
appliances.kitchen.coffee_grinder,electronics.smartphone + appliances.kitchen.refrigerators,0.125,1.0,4.0
appliances.kitchen.coffee_grinder,appliances.kitchen.refrigerators + electronics.tablet,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,appliances.kitchen.toster + appliances.personal.massager,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,appliances.kitchen.toster + appliances.personal.scales,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,appliances.kitchen.toster + electronics.audio.headphone,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,electronics.smartphone + appliances.kitchen.toster,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,appliances.kitchen.toster + electronics.tablet,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,appliances.personal.scales + appliances.personal.massager,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,electronics.audio.headphone + appliances.personal.massager,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,electronics.smartphone + appliances.personal.massager,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,electronics.tablet + appliances.personal.massager,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,appliances.personal.scales + electronics.audio.headphone,0.125,1.0,4.0
appliances.kitchen.coffee_grinder,electronics.smartphone + appliances.personal.scales,0.125,1.0,4.0
appliances.kitchen.coffee_grinder,appliances.personal.scales + electronics.tablet,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,electronics.audio.headphone + electronics.tablet,0.125,1.0,4.0
appliances.kitchen.coffee_grinder,electronics.smartphone + electronics.tablet,0.125,1.0,8.0
appliances.kitchen.dishwasher,appliances.kitchen.hood + appliances.kitchen.oven,0.125,1.0,8.0
appliances.kitchen.dishwasher,appliances.kitchen.refrigerators + appliances.kitchen.hood,0.125,1.0,8.0
appliances.kitchen.dishwasher,appliances.personal.scales + appliances.kitchen.hood,0.125,1.0,8.0
appliances.kitchen.dishwasher,computers.peripherals.printer + appliances.kitchen.hood,0.125,1.0,8.0
appliances.kitchen.dishwasher,electronics.audio.headphone + appliances.kitchen.hood,0.125,1.0,8.0
appliances.kitchen.dishwasher,appliances.kitchen.refrigerators + appliances.kitchen.oven,0.125,1.0,8.0
appliances.kitchen.dishwasher,appliances.personal.scales + appliances.kitchen.oven,0.125,1.0,8.0
appliances.kitchen.dishwasher,computers.peripherals.printer + appliances.kitchen.oven,0.125,1.0,8.0
appliances.kitchen.dishwasher,electronics.audio.headphone + appliances.kitchen.oven,0.125,1.0,8.0
appliances.kitchen.dishwasher,computers.peripherals.printer + appliances.kitchen.refrigerators,0.125,1.0,8.0
appliances.kitchen.dishwasher,appliances.kitchen.refrigerators + electronics.audio.headphone,0.125,1.0,4.0
appliances.kitchen.dishwasher,appliances.personal.scales + computers.peripherals.printer,0.125,1.0,8.0
appliances.kitchen.dishwasher,appliances.personal.scales + electronics.audio.headphone,0.125,1.0,4.0
appliances.kitchen.dishwasher,computers.peripherals.printer + electronics.audio.headphone,0.125,1.0,8.0
appliances.kitchen.grill,appliances.kitchen.microwave + appliances.kitchen.washer,0.125,0.5,4.0
appliances.kitchen.grill,computers.network.router + appliances.kitchen.microwave,0.125,0.5,4.0
appliances.kitchen.grill,appliances.kitchen.microwave + country_yard.weather_station,0.125,0.5,4.0
appliances.kitchen.microwave,electronics.smartphone + appliances.kitchen.grill,0.125,0.5,4.0
appliances.kitchen.grill,computers.network.router + appliances.kitchen.washer,0.125,0.5,4.0
appliances.kitchen.grill,computers.peripherals.mouse + appliances.kitchen.washer,0.125,0.5,4.0
appliances.kitchen.grill,appliances.kitchen.washer + country_yard.weather_station,0.125,0.5,4.0
